# JD     RV     RV_err 
 2456528.704500  19.982314  0.0094073640 
 2456531.696400  20.181617  0.0099806385 
 2456532.720100  20.269827  0.0099043352 
 2456533.699400  20.280049  0.0092588829 
 2456534.714700  20.228867  0.0090624178 
 2456536.733300  20.220910  0.0108599970 
 2456538.680500  20.146492  0.0093798757 
 2456538.733400  20.272000  0.0102083360 
 2456541.690300  20.003859  0.0092830097 
 2456542.672300  19.939569  0.0093495935 
 2456543.663300  19.927632  0.0094552314 
 2456543.705500  19.986514  0.0095680328 
 2456543.723200  20.073160  0.0094154878 
 2456544.661000  19.664853  0.0089255705 
 2456544.691000  18.831406  0.0079648846 
 2456544.724200  19.037870  0.0105343310 
 2456545.660800  19.946580  0.0096815841 
 2456548.731600  19.944186  0.0104937250 
 2456549.666800  19.969828  0.0100276780 
 2456551.689600  19.795216  0.0106048650 
 2456551.715500  19.736544  0.0100981560 
 2456551.733100  19.913919  0.0100119960 
 2456553.736200  20.059902  0.0097148803 
 2456556.707200  20.023150  0.0090862252 
 2456558.749300  19.792042  0.0085956326 
 2456562.617300  19.674561  0.0091606866 
 2456564.726700  19.835119  0.0087181959 
 2456565.730200  19.897270  0.0098050132 
 2456567.744100  20.025459  0.0100713250 
 2456570.596500  19.500550  0.0086707201 
 2456571.725200  19.500064  0.0094328645 
 2456572.652500  19.478931  0.0099106366 
 2456573.624100  19.597511  0.0107342420 
 2456573.714000  19.543894  0.0090455999 
 2456574.642400  19.630466  0.0105589570 
 2456574.729100  19.409757  0.0095572862 
 2456575.647300  19.577402  0.0102094920 
 2456575.716900  19.565060  0.0103985100 
 2456577.584800  19.530913  0.0093984606 
 2456577.720500  20.228526  0.0093977034 
 2456578.615400  19.494212  0.0097718624 
 2456579.606500  19.542166  0.0108247760 
 2456580.566000  19.451730  0.0099052947 
 2456580.661700  19.532131  0.0106531020 
 2456580.754300  19.465610  0.0094518388 
 2456581.588300  19.453064  0.0098276552 
 2456581.652200  19.528793  0.0111029890 
 2456581.700000  19.579705  0.0103530470 
 2456581.754900  19.587045  0.0108723100 
 2456582.583900  19.576878  0.0105033690 
 2456582.612700  19.475330  0.0104913600 
 2456582.710800  19.449384  0.0105716710 
 2456586.613900  19.410246  0.0094751020 
 2456588.605800  19.281136  0.0096313682 
 2456592.762000  19.328469  0.0108922180 
 2456595.675500  19.419936  0.0078516267 
 2456597.730100  19.490265  0.0101372140 
 2456598.658700  19.378077  0.0093823668 
 2456601.593700  19.453755  0.0100315270 
 2456602.768200  19.501033  0.0082690679 
 2456604.594400  19.563158  0.0066505294 
 2456606.632200  19.604215  0.0080231881 
 2456608.562600  19.484368  0.0100231210 
 2456612.762000  19.698681  0.0107417150 
 2456622.743700  19.780945  0.0116483300 
 2456630.507300  18.940236  0.0101890240 
 2456632.428300  18.820639  0.0102829150 
 2456701.533700  17.441139  0.0091871875 
 2456707.536600  17.084257  0.0091598163 
 2456710.445000  17.320951  0.0080012590 
 2456713.436300  17.193139  0.0078818138 
 2456714.489700  17.222387  0.0067528498 
 2456715.466000  17.177250  0.0078668748 
 2456715.505300  17.165136  0.0085567340 
 2456716.464900  17.175244  0.0072766698 
 2456716.490000  17.142706  0.0085951702 
 2456716.505900  17.136566  0.0075216726 
 2456717.463900  17.237990  0.0067043449 
 2456718.461100  17.146355  0.0088396328 
 2456719.452000  17.110656  0.0091863756 
 2456719.505300  17.101310  0.0087847331 
 2456720.452300  17.077934  0.0071591074 
 2456720.487900  17.116014  0.0086814303 
 2456720.503900  17.089605  0.0089807242 
 2456721.443200  17.070801  0.0069118130 
 2456721.501700  17.087865  0.0081783010 
 2456722.444400  17.007214  0.0068480043 
 2456730.459200  16.885246  0.0080444946 
 2456734.468700  16.834621  0.0091278626 
 2456737.350200  16.948166  0.0075437299 
 2456741.442000  16.805776  0.0092768958 
 2456744.437100  16.798060  0.0088847330 
 2456756.386800  16.991615  0.0104199070 
 2456763.391900  16.847302  0.0086452725 
 2456765.374800  17.208846  0.0102749420 
 2456885.724900  20.773045  0.0066447698 
 2456895.698300  20.774214  0.0079031481 
 2456895.710300  20.790196  0.0077806222 
 2456895.730000  20.750873  0.0078751792 
 2456895.733700  20.763104  0.0077402398 
 2456899.689400  21.016680  0.0140192840 
 2456907.723500  20.685555  0.0072853256 
 2456908.726200  20.686749  0.0071636704 
 2456910.740300  20.707183  0.0075375060 
 2456913.739600  20.431994  0.0097073384 
 2456916.710400  20.625369  0.0091768283 
 2456920.723000  20.726331  0.0076632665 
 2456923.682000  20.730249  0.0078569314 
 2456924.749400  20.806877  0.0078912330 
 2456928.750400  20.845601  0.0075756361 
 2456931.696800  21.123063  0.0068827239 
 2456933.727000  21.111859  0.0069025667 
 2456935.739400  21.187440  0.0078281368 
 2456937.746900  21.414248  0.0074951944 
 2456938.754000  21.288046  0.0093022670 
 2456939.650000  21.475091  0.0068104319 
 2456939.675600  21.454259  0.0071403521 
 2456939.679400  21.455877  0.0074216188 
 2456940.649500  21.483453  0.0067792282 
 2456940.687300  21.478627  0.0077645654 
 2456940.699100  21.387049  0.0085730865 
 2456940.702700  21.483974  0.0078542914 
 2456940.721600  21.344737  0.0077030725 
 2456940.744500  21.452524  0.0086485057 
 2456940.755700  21.483620  0.0077876829 
 2456941.643700  21.525452  0.0077793305 
 2456941.676000  21.462194  0.0078506984 
 2456942.663200  21.575517  0.0071082640 
 2456942.728500  21.523009  0.0068986444 
 2456945.629100  21.681894  0.0065082386 
 2456945.731600  21.616058  0.0075947575 
 2456945.751900  21.645564  0.0075556127 
 2456945.755500  21.650217  0.0075780534 
