JD,RV,RV_err,NP
2449444.5978514245,26.71,0.6,1
2449454.5988478716,26.576666666666668,0.6000000000000001,3
2449464.599844319,26.165,0.6,2
2449474.600840767,25.465,0.6,2
2449564.609808794,21.96,0.6,1
2449614.614791032,26.15,0.6,2
2449624.61578748,26.0,0.6000000000000001,3
2449644.6177803744,26.305,0.6,2
2449654.6187768225,26.17,0.6,1
2449664.6197732696,26.52,0.6,1
2449674.6207697173,25.820000000000004,0.6000000000000001,3
2449704.62375906,26.861999999999995,0.6,5
2449714.6247555073,26.86,0.6,2
2449724.6257519545,26.55,0.6,1
2449764.629737745,28.59,0.6,1
2449784.6317306403,26.31,0.6,1
2450154.6685991986,21.41,0.1,1
2450174.670592094,21.595,0.21499999999999986,2
2450184.671588541,21.33,0.1,1
2450314.684542359,22.41,0.1,1
2450334.686535254,19.59,0.1,1
2450344.6875317013,18.44,0.1,1
2450384.691517492,18.1,0.1,1
2450444.6974961767,20.11,0.15000000000000036,2
2450464.699489072,19.7,0.1,1
2450474.700485519,19.9,0.1,1
2450484.7014819672,19.99,0.1,1
2450494.7024784144,19.78,0.1,1
2450504.7034748625,19.4,0.1,1
2450524.705467757,20.42,0.1,1
2450534.706464205,20.62,0.1,1
2450694.722407365,23.95,0.1,1
2450714.7244002605,24.625,0.23637893307145574,4
2450724.7253967077,24.576666666666664,0.7409153497907536,3
2450754.72838605,24.29,0.1,1
2450774.7303789454,24.75,0.1,1
2450794.7323718406,23.56,0.1,1
2450804.733368288,22.73,0.1,1
2450814.7343647354,21.77,0.1,1
2450824.735361183,21.52,0.1,1
2450844.7373540783,21.25,0.1,1
2450854.7383505255,20.72,0.1,1
2450884.741339868,21.97,0.1,1
2450894.742336316,20.32,0.1,1
2450914.7443292104,21.22,0.1,1
2450924.7453256585,20.46,0.1,1
2451074.7602723716,23.26,0.1,1
2451094.762265266,23.11,0.1,1
2451104.763261714,23.52,0.1,1
2451114.764258161,23.7,0.1,1
2451124.765254609,23.93,0.1,1
2451144.7672475036,23.16,0.1,1
2451154.7682439517,22.82,0.1,1
2451184.771233294,24.1,0.1,1
2451194.7722297413,24.47,0.1,1
2451204.7732261894,25.13,0.1,1
2451244.777211979,23.04,0.1,1
2451254.7782084267,21.58,0.1,1
2451264.7792048743,21.46,0.1,1
2451494.8021231676,20.59,0.1,1
2451504.8031196147,18.95,0.1,1
2451524.80511251,21.18,0.1,1
2451534.806108957,20.92,0.1,1
2451554.8081018524,20.72,0.1,1
2451574.8100947477,20.66,0.1,1
2451604.81308409,20.48,0.1,1
2451634.8160734326,20.77,0.1,1
2451864.838991726,20.56,0.1,1
2451884.840984621,22.5,0.1,1
2451894.8419810683,20.88,0.1,1
2451934.845966859,20.18,0.1,1
2451964.848956201,20.86,0.1,1
2451994.8519455437,21.9,0.1,1
2452214.8738673897,20.71,0.1,1
2452264.8788496275,19.45,0.1,1
2452284.880842522,19.49,0.1,1
2452304.882835417,19.22,0.1,1
2452314.8838318647,20.28,0.1,1
2452344.8868212076,21.38,0.1,1
2452364.8888141024,22.68,0.1,1
2452534.9057537103,21.162901785714283,0.36055512754639896,2
2452544.9067501575,20.46682142857143,0.32557641192199416,5
2452554.9077466056,19.525,0.6214700314576724,4
2452564.9087430527,19.72794642857143,0.4721192434526106,4
2452574.909739501,19.381696428571427,0.5,3
2452584.910735948,20.21,0.1,1
2452644.916714633,18.8,0.1,1
2452654.917711081,19.49,0.1,1
2452664.918707528,18.134999999999998,0.1,2
2452674.919703976,17.808035714285715,0.5,1
2452684.9207004234,17.9,0.1,2
2452694.9216968706,18.152879464285714,0.4381004642782986,4
2452704.9226933187,18.22,0.5016638981097481,3
2452714.923689766,18.66672619047619,0.41231056256176607,3
2452724.924686213,19.52,0.1,1
2452744.9266791083,22.83035714285714,0.5,1
2452754.927675556,21.3,0.1,1
2452904.9426222686,23.734375,0.5,1
2452914.9436187167,22.93080357142857,0.5,1
2452934.9456116115,22.16,0.1,1
2452954.9476045063,23.232142857142854,0.5,1
2452974.9495974015,24.270089285714285,0.5,1
2452994.951590297,23.6,0.1,1
2453004.952586744,23.47566964285714,0.36055512754639896,2
2453014.953583192,22.51,0.1,1
2453044.9565725345,21.06,0.1,1
2453054.9575689817,20.66,0.1,1
2453064.9585654293,20.720982142857142,0.5,1
2453104.9625512194,20.95535714285714,0.5,1
2453274.979490828,23.801339285714285,0.5,1
2453284.980487275,23.265625,0.5,1
2453324.9844730655,21.05580357142857,0.5,1
2453404.9924446456,19.692410714285714,0.39241071428571495,2
2453424.99443754,19.02,0.1,1
2453444.996430435,19.783482142857142,0.5,1
2453474.9994197777,19.582589285714285,0.5,1
2453635.0153629384,21.859375,0.5,1
2453745.0263238614,18.109375,0.5,1
2453765.0283167567,17.54017857142857,0.5,1
2453805.0323025463,15.263392857142858,0.5,1
2453825.0342954416,15.899553571428573,0.5,1
2453835.0352918888,16.736607142857142,0.5,1
2453845.036288337,17.473214285714285,0.5,1
2454035.0552208396,22.495535714285715,0.5,1
2454065.058210182,22.863839285714285,0.5,1
2454095.0611995244,23.098214285714285,0.5,1
2454105.0621959725,22.897321428571427,0.5,1
2454185.0701675527,17.741071428571427,0.5,1
2454195.071164,17.27232142857143,0.5,1
2454215.073156895,17.171875,0.5,1
2454225.0741533423,17.741071428571427,0.5,1
2454755.1269650618,21.386386,0.10049999999999848,2
2454765.127961509,21.85511,0.1774079999999998,2
2454775.128957957,22.811352111111106,0.09623744041396805,9
2454785.129954404,23.180598,0.11766279584686132,4
2454805.1319472995,23.977209083333335,0.05315578380956927,12
2454815.1329437466,24.200506999999998,0.009187686458433446,3
2454825.1339401943,24.253136,0.0098250014,1
2454835.134936642,24.4279345,0.04873879794424566,10
2454855.136929537,25.002341363636365,0.05662071517687255,11
2454865.1379259843,25.198827333333337,0.028835102939916667,3
2454875.138922432,25.3018088,0.02174466446188612,5
2454905.141911775,25.008261333333333,0.009788423309649118,3
2454935.1449011173,23.942040000000002,0.042726340946384715,3
2454945.1458975645,23.871542857142856,0.02872147316371295,7
2455065.157854935,22.5136745,0.01442058356795161,2
2455075.1588513823,22.649006,0.060126173614325346,4
2455085.1598478304,22.949709,0.10320979710279395,3
